Date,Match,Result,Goals Scored,Competition,Year 
11-Oct-18,Iraq,W,4,International Friendly,2018
16-Oct-18,Brazil,L,0,Superclasico de las Americas,2018
16-Nov-18,Mexico,W,2,International Friendly,2018
20-Nov-18,Mexico,W,2,International Friendly,2018
22-Mar-19,Venezuela,L,1,International Friendly,2018
26-Mar-19,Morocco ,W,5,International Friendly,2018
7-Jun-19,Nicaragua,W,0,International Friendly,2018
15-Jun-19,Colombia,L,1,Copa America,2018
19-Jun-19,Paraguay,D,2,Copa America,2018
23-Jun-19,Qatar ,W,2,Copa America,2018
28-Jun-19,Venezuela ,W,0,Copa America,2018
2-Jul-19,Brazil ,L,2,Copa America,2018
6-Jul-19,Chile,W,2,Copa America,2018
5-Sep-19,Chile,D,0,International Friendly,2019
10-Sep-19,Mexico,W,4,International Friendly,2019
9-Oct-19,Germany ,D,2,International Friendly,2019
13-Oct-19,Ecuador ,W,6,International Friendly,2019
15-Nov-19,Brazil ,W,1,Superclasico de las Americas,2019
18-Nov-19,Uruguay,D,2,International Friendly,2019
26-Mar-20,Ecuador,,,FIFA World Cup,2019
31-Mar-20,Bolivia ,,,FIFA World Cup,2019
12-Jun-20,Chile,,,Copa America,2019
16-Jun-20,Uruguay,,,Copa America,2019
20-Jun-20,Paraguay,,,Copa America,2019
26-Jun-20,Australia ,,,Copa America,2019
30-Jun-20,Bolivia ,,,Copa America,2019
8-Oct-20,Ecuador,W,1,FIFA World Cup,2020
13-Oct-20,Bolivia ,W,2,FIFA World Cup,2020
